0.09146397 0.78896451 0.72029786 0.04586932 0.63768426 0.87487411 0.47065645 0.22550127 0.44123661 0.53248695 0.00579852 0.95736564 0.64986114 0.44615009 
0.39039277 -0.65131589 -2.18797233 4.09094386 1.75086328 1.20450701 -1.12086298 5.30033753 -4.63309800 2.08925376 0.09806424 4.78846364 -0.70488268 -0.00370494 
0.09732353 -8.14829887 -1.35581667 9.09452777 0.26699323 2.13968343 -4.31444612 7.82171117 -3.98306219 -2.49263603 2.22312529 8.88217597 0.70022045 0.42478310 
0.00909452 -4.30648945 -2.71487777 2.03685672 1.59977180 1.48364706 -4.40756878 8.37369898 0.25653685 -1.39817066 5.18466718 3.15622762 1.31907351 0.84241291 
0.88445692 0.77410937 0.17114346 -8.65239694 2.59032632 1.81418649 1.71003585 -2.54676617 7.67583068 1.01562938 2.71280810 -4.22145013 -0.09428822 0.18157211 
0.44083987 -5.35796542 6.19895650 0.36659142 4.34949518 -2.35279956 -3.53670020 4.03395906 -0.10224974 -0.35935534 -16.38421551 0.54439928 0.55960020 0.91228177 
0.90807825 3.50465580 0.12618680 -5.22597269 1.49409822 -0.54942865 3.03748113 -2.43466594 4.49352898 1.44567225 2.41780811 -4.40579607 -0.50839809 0.04406214 
0.86996063 4.25010093 1.78252124 -0.72306433 -2.17352334 0.60082034 2.16291297 -4.54361412 1.91511485 -1.20634218 10.02323587 -1.96921257 2.26028336 1.95339172 
0.30103458 6.73348956 0.50279747 2.61783000 -1.02414723 0.55866244 4.26641250 -8.72089685 -3.60360804 -1.70191505 6.65724175 -0.65251205 -0.55485405 0.10406367 
0.23694571 -1.57986414 13.79303556 9.98555823 7.39358366 -11.61143616 4.42776203 -11.41637958 -2.91519719 -0.83125157 -5.14179792 0.85530257 4.07175094 2.48732704 
0.53529466 -2.12279370 5.15218757 0.51571097 -1.18766786 -1.12744859 -3.25936163 -0.23967084 8.74990013 -3.87403612 9.95559327 -1.54199108 6.48423087 4.47502940 
